,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
0,7.14,3.21,8.21,3.86,13.36,17.56,12.81,6.72,0.93,0.165598,0.71,0.33,56,3.3952280973357767,7.591515564623078,7.586605061019269
1,7.2,2.98,7.82,3.2,12.59,16.68,11.26,6.1,0.87,0.152754,0.6699999999999999,0.35,45,3.2188696999560396,6.797573310713492,6.481594911444032
2,6.0,2.26,5.83,1.91,9.97,12.72,8.98,4.8,0.96,0.049825,0.84,0.79,23,3.7599538948387408,4.306546142447785,4.872660234440612
3,5.92,2.0,5.77,2.15,13.27,14.57,13.23,5.28,0.96,0.126065,0.81,0.58,26,2.8402358890774795,6.179313272709516,5.196965841491935
4,5.85,2.08,5.23,1.69,14.31,16.43,11.08,5.5,1.0,0.258477,0.94,0.48,26,2.4227346170279485,5.396995098103684,7.537534391856222
5,7.41,3.17,8.41,3.62,14.88,18.55,12.62,6.81,0.84,0.185075,0.6799999999999999,0.34,58,3.3926104409611715,8.516136258395688,7.611881099421379
6,6.55,2.81,6.77,2.77,15.56,18.91,12.44,6.73,0.96,0.228277,0.83,0.37,47,3.0475812710144887,7.493534996937962,8.572453837742488
7,6.76,2.88,6.71,2.76,11.29,14.87,11.29,5.49,0.88,0.125852,0.9,0.42,34,3.1994139394134167,5.540642653383109,5.54558127711157
8,7.85,3.27,9.6,4.15,11.1,14.08,11.1,6.06,0.76,0.0,1.0,0.95,55,5.536779492782943,5.541758593698589,5.549811100713608
9,6.62,2.75,6.56,2.69,11.06,14.88,11.05,5.38,0.94,0.112479,0.75,0.5,32,5.558114503530988,5.443427276805775,3.2436501042079326
