,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
0,7.48,3.17,8.52,3.65,11.2,12.56,11.1,5.81,0.8,0.029319,0.8200000000000001,0.75,46,4.362748812415111,5.631553460595031,5.638068655459603
1,7.85,3.27,9.6,4.15,11.1,13.59,11.1,6.06,0.76,0.0,1.0,1.0,55,5.549811100713605,5.5367794927829355,5.541758593698594
2,7.74,3.58,9.29,4.26,11.77,16.53,11.1,6.41,0.77,0.0,1.0,0.76,62,5.884555889805786,5.873691310207321,5.879325494233152
3,7.74,3.58,9.29,4.26,11.77,13.59,11.1,6.41,0.77,0.0,1.0,1.0,62,5.884564004213427,5.879365444399342,5.873765132519604
4,7.74,3.58,9.29,4.26,11.77,13.59,11.1,6.41,0.77,0.0,1.0,1.0,62,5.884564004213423,5.879365444399341,5.873765132519606
5,7.42,3.16,8.49,3.6,11.21,16.06,11.1,5.76,0.82,0.025953,0.91,0.63,45,5.636071355324819,5.63103141443155,4.365145924037269
6,7.32,2.98,8.29,3.37,11.0,15.45,10.72,5.59,0.85,0.029066,0.9299999999999999,0.7,41,5.88491459246935,5.0010748350904715,4.514719637921778
7,7.81,3.26,9.56,4.04,11.2,16.71,11.2,6.03,0.78,0.001271,0.96,0.81,54,5.548987961107664,5.53697866457203,5.54233980031545
8,7.81,3.26,9.56,4.04,11.2,16.71,11.2,6.03,0.78,0.001271,0.96,0.81,54,5.5369786645720245,5.542339800315457,5.54898796110766
9,7.44,3.02,8.42,3.49,11.27,16.35,10.26,5.68,0.81,0.039928,0.94,0.71,43,4.527247200765312,5.405291673437117,5.618447722043069
10,7.7,3.54,9.28,4.23,11.94,18.72,11.24,6.38,0.79,0.000985,0.96,0.92,61,5.883797125218517,5.876550569416323,5.877428117822872
