,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
0,6.77,2.23,6.77,2.23,9.42,12.98,9.21,4.83,0.92,0.065022,0.85,0.73,26,3.1634660130355585,4.989015822579131,4.185372617233003
1,6.64,2.32,6.48,2.08,9.45,12.6,9.19,4.78,0.92,0.058673,0.94,0.72,25,3.344815991214124,4.652096127943452,4.209282988408365
2,6.62,2.23,6.69,2.15,9.49,13.17,9.21,4.88,0.92,0.063505,0.78,0.69,26,3.214695247798116,4.503007796853842,4.929672507005374
3,7.12,2.56,7.75,2.62,9.39,12.56,8.77,5.11,0.91,0.030087,0.96,0.75,32,4.328816852928423,4.07610862792501,4.689346283090662
4,7.06,2.56,7.5,2.62,9.39,13.35,9.07,5.15,0.91,0.036879,0.87,0.84,32,4.3873134421652855,4.375645204570463,4.379817468907801
5,7.06,2.56,7.69,2.69,9.42,13.64,8.88,5.12,0.91,0.024816,0.98,0.79,32,4.305949210353265,4.400544362303115,4.435555933971831
6,6.26,2.52,5.48,2.17,9.46,13.09,7.38,4.71,0.91,0.052613,0.77,0.58,23,5.337734823431734,4.1591524809568625,2.996232422387208
7,7.06,2.5,7.69,2.62,9.5,13.65,9.16,5.14,0.91,0.03416,0.86,0.77,32,4.304668500907732,4.400719625048056,4.4363830846208305
8,6.77,2.31,6.77,2.23,9.33,13.21,8.6,4.81,0.92,0.044151,0.9,0.78,26,3.4118870206603362,4.211152755604603,4.574273680984219
9,6.79,2.5,7.0,2.43,9.43,13.27,8.58,4.92,0.93,0.022036,1.0,0.9,28,3.6873875818652615,4.464620701466266,4.759539564521315
10,6.81,2.3,6.89,2.37,9.46,12.02,9.45,4.88,0.93,0.042267,0.83,0.84,27,3.2277462756355106,4.924271736768867,4.48758161586107
11,6.83,2.34,7.17,2.41,9.43,13.21,9.26,5.03,0.93,0.053656,0.86,0.79,29,3.711088499990064,4.738615661722428,4.509562614849399
12,6.81,2.3,6.89,2.3,9.43,13.12,9.17,4.89,0.93,0.064169,0.77,0.72,27,3.214569726279441,4.502654933183784,4.93000071059898
13,6.79,2.43,7.07,2.5,9.32,12.56,9.25,4.92,0.93,0.019612,0.9,0.93,28,3.808124301558907,4.388778431491222,4.5188427296912685
14,6.86,2.29,6.93,2.36,9.42,12.78,9.03,4.97,0.93,0.061295,0.85,0.76,28,3.283646699556786,4.280915154897256,5.113366073776418
15,6.93,2.29,7.07,2.43,9.47,12.93,8.97,4.93,0.93,0.053954,0.96,0.75,28,3.3410656431196983,4.224283302094732,5.0361679053667485
16,6.59,2.59,6.59,2.52,9.57,13.29,8.63,4.89,0.93,0.009217,0.97,0.96,27,4.756692762507922,4.308254845047305,4.085238623999673
17,7.03,2.45,7.55,2.58,9.39,12.93,9.17,5.09,0.9,0.04066,0.8,0.77,31,3.926440327966013,4.668302266699512,4.456278215930371
18,6.97,2.52,7.55,2.65,9.41,13.78,9.3,5.08,0.94,0.024819,0.91,0.82,31,3.928036983536391,4.666938443920607,4.456248099605671
19,7.12,2.56,7.75,2.69,9.19,13.4,9.18,5.11,0.91,0.029093,0.83,0.82,32,3.9277709717630467,4.667591649857917,4.456497850868574
20,6.48,2.48,6.0,2.08,9.67,11.13,8.99,4.86,0.92,0.102554,1.0,0.73,25,3.0900218871114364,5.113100718777396,4.155904589111651
21,6.42,2.42,5.92,2.08,9.41,12.03,7.57,4.78,0.92,0.091553,1.03,0.68,24,3.2003969426134438,5.004631410313774,4.084907736055318
22,6.64,2.5,6.57,2.43,9.16,11.52,9.15,5.03,0.93,0.084229,0.88,0.57,28,3.393570840083407,4.802246790857261,4.799579634280136
23,6.67,2.59,6.59,2.44,9.41,13.33,9.04,4.87,0.89,0.003093,0.98,1.0,27,4.884885575122344,4.230094384705317,3.995127990949512
24,7.26,2.57,8.23,2.91,9.13,14.0,9.13,5.24,0.91,0.009053,0.94,0.99,35,4.378276923949824,4.383720066082322,4.385405838930212
25,6.64,2.24,6.48,2.08,9.42,12.5,9.02,4.8,0.92,0.075861,1.13,0.79,25,3.3966609249474033,4.633429189013333,4.168304465908936
26,6.18,2.18,5.36,1.73,9.52,11.51,9.08,4.73,0.95,0.115265,0.94,0.7,22,5.715755175732642,4.3057130566763835,2.7937571831925627
27,6.27,2.18,5.55,1.82,9.35,12.12,9.18,4.69,0.95,0.121429,0.99,0.68,22,2.7491837888498245,3.940980779878574,4.973639259220011
28,6.0,2.38,5.14,2.0,9.56,12.52,7.61,4.61,0.95,0.065551,0.95,0.69,21,5.199186345767688,3.9033100010477324,3.1127141382423082
