,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
0,7.73,3.46,9.25,4.17,12.11,18.19,11.57,6.32,0.78,0.008375,0.9,0.82,59,5.875573649778097,5.878268597858616,5.883782500500539
1,7.61,3.22,8.98,3.8,12.09,15.07,11.99,6.05,0.8,0.060405,0.99,0.78,51,5.808361187330782,6.615061987959171,4.553535740478407
2,7.71,3.36,9.21,4.07,12.04,16.71,11.14,6.2,0.79,0.014939,0.98,0.81,56,5.3318264906051,6.148685666461501,6.058535388175271
3,7.62,3.27,9.15,3.92,12.1,15.48,11.31,6.02,0.81,0.004804,0.9299999999999999,0.83,52,4.965839893750125,5.997086309193517,5.922803190903462
4,7.69,3.45,9.24,4.14,12.13,18.12,11.63,6.28,0.79,0.010555,0.92,0.92,58,5.88380355977341,5.8758816714805295,5.877407872612805
5,7.5,3.27,9.15,3.92,12.08,17.41,11.15,6.07,0.85,0.030804,0.9299999999999999,0.92,52,4.943247650303819,6.447077554868304,6.097006560235471
6,7.29,3.2,8.31,3.6,12.09,15.63,11.62,5.81,0.84,0.029619,0.9299999999999999,0.68,45,4.670585954474711,6.101654680473507,5.879416014190696
7,7.58,3.08,9.08,3.75,12.1,16.86,10.6,5.86,0.83,0.021419,0.96,0.71,48,6.282288225260288,5.039620731817472,5.234555683865652
8,7.48,3.33,9.19,4.0,12.07,15.21,11.41,6.16,0.85,0.011954,0.9,0.91,54,6.103259197936665,5.728992106883666,5.795700537939003
9,7.45,3.29,8.9,3.84,12.08,17.65,11.37,6.04,0.86,0.022723,0.97,0.89,51,4.836466141471644,6.4078673452706525,5.464507453305948
10,7.93,3.17,10.21,4.14,12.05,17.3,12.05,6.18,0.83,0.015051,0.98,0.83,58,6.374827770678829,5.564517764856503,5.020322886732886
11,7.54,3.43,9.21,4.07,12.06,18.95,11.3,6.23,0.84,0.016642,0.94,0.88,56,5.870575117053056,5.878320593927419,5.889667154237325
12,7.65,3.44,9.23,4.11,12.14,18.52,11.27,6.24,0.81,0.011764,0.92,0.85,57,5.695413730028453,6.010068614628632,5.917837331517843
