,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
0,8.13,3.24,10.41,4.41,12.16,17.55,11.7,6.34,0.76,0.011556,0.91,0.71,63,6.0511917764605965,5.9600554308877856,5.487852866729684
1,8.06,3.23,10.32,4.32,12.08,18.18,11.73,6.33,0.77,0.014405,0.89,0.74,62,6.05439851533366,5.957181185876792,5.487919119004627
2,8.06,3.23,10.32,4.39,12.14,17.58,11.71,6.31,0.77,0.010775,0.94,0.81,62,6.048646750505663,5.960166899638374,5.490397812684351
3,8.06,3.23,10.32,4.39,12.08,16.77,11.87,6.31,0.77,0.009123,0.9299999999999999,0.76,62,6.0504309230987445,5.957097050173949,5.489543549559585
4,7.73,3.46,9.25,4.17,12.11,18.19,11.57,6.32,0.78,0.008375,0.9,0.82,59,5.875573649778099,5.878268597858611,5.883782500500536
5,7.73,3.46,9.25,4.17,12.11,18.19,11.57,6.32,0.78,0.008375,0.9,0.82,59,5.883782500500542,5.8755736497780955,5.878268597858609
6,7.73,3.46,9.25,4.17,12.11,18.19,11.57,6.32,0.78,0.008375,0.9,0.82,59,5.8755736497780955,5.8782685978586136,5.883782500500537
7,8.0,3.2,10.17,4.27,12.13,17.94,12.1,6.26,0.78,0.014355,0.98,0.9,60,6.033667083094616,5.966401732500011,5.498481276608487
8,7.74,3.58,9.29,4.26,11.77,17.4,11.1,6.41,0.77,0.0,1.0,0.71,62,5.884555889805791,5.87369131020733,5.8793254942331545
9,8.03,3.21,10.23,4.3,12.1,17.34,11.98,6.29,0.79,0.007782,0.98,0.75,61,6.05156320301655,5.9578936901054655,5.490192579727906
10,8.03,3.21,10.3,4.3,12.07,17.95,11.8,6.28,0.79,0.009673,0.99,0.84,61,6.047787875672922,5.958698899456038,5.492538507551371
11,7.71,3.36,9.21,4.07,12.04,16.71,11.6,6.2,0.79,0.014939,0.98,0.81,56,5.331826490605102,6.148685666461495,6.058535388175271
12,7.97,3.15,10.14,4.17,12.05,18.16,11.95,6.24,0.8,0.016711,0.98,0.96,59,5.33155007294882,6.197538759465427,5.940806510770173
13,7.64,3.16,8.96,3.76,12.07,14.38,11.78,6.0,0.8,0.063691,1.0,0.82,50,4.574059753604974,6.329261516207867,5.517861392011253
14,7.72,3.38,10.31,4.49,12.22,19.7,12.02,6.48,0.8,0.003513,0.97,0.99,65,5.884512605714852,5.879504350075566,5.874921713556825
15,7.93,3.19,10.07,4.24,12.05,18.17,11.85,6.23,0.8,0.010942,0.98,0.91,59,6.0143027427666205,5.976886566105505,5.505874035942211
16,8.0,3.13,10.2,4.2,12.12,18.17,11.78,6.3,0.8,0.021187,0.88,0.76,60,5.772263629730456,5.792544431255593,5.81765308320365
17,7.96,3.04,10.07,4.11,12.02,16.78,11.87,6.14,0.8,0.038438,0.99,0.82,56,4.893964887984901,5.912114483736638,5.71363648140085
