,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
0,7.73,3.46,9.25,4.17,12.11,18.19,11.57,6.32,0.78,0.008375,0.9,0.82,59,5.875573649778097,5.878268597858614,5.883782500500539
1,7.73,3.46,9.25,4.17,12.11,18.19,11.57,6.32,0.78,0.008375,0.9,0.82,59,5.883782500500541,5.875573649778098,5.878268597858613
2,7.71,3.36,9.21,4.07,12.04,16.71,11.6,6.2,0.79,0.014939,0.98,0.81,56,5.331826490605102,6.148685666461501,6.058535388175271
3,7.7,3.54,9.28,4.23,11.94,19.27,11.24,6.38,0.79,0.000985,0.96,0.95,61,5.883797125218512,5.877428117822873,5.876550569416327
4,8.18,3.21,10.67,4.52,12.6,17.86,12.51,6.45,0.77,0.025114,1.0,0.75,66,4.9606356294737095,6.3926371628874366,6.401188054223992
5,7.61,3.22,8.98,3.8,12.09,15.07,11.99,6.05,0.8,0.060405,0.99,0.78,51,6.615061987959172,5.808361187330782,4.553535740478409
6,7.97,3.25,10.26,4.23,12.57,18.56,12.24,6.31,0.8,0.01896,0.9,0.84,61,6.406918856685393,6.18875608816965,5.116575548663117
7,7.66,3.49,9.25,4.17,12.22,18.9,11.43,6.32,0.8,0.005645,0.95,0.95,59,5.8738320241347335,5.882933640644736,5.880247997469771
8,7.94,3.54,10.29,4.43,12.81,18.2,12.23,6.65,0.8,0.00911,0.96,0.88,70,5.317953038256678,6.638955973081705,6.568627133575368
9,7.62,3.08,9.08,3.75,12.01,16.96,10.76,5.86,0.81,0.021717,0.97,0.73,48,4.823239381513249,5.522692233287266,6.009853343297761
10,7.61,3.4,9.23,4.11,11.96,19.11,11.1,6.26,0.81,0.018004,0.89,0.95,57,5.88331607860172,5.875948529242601,5.87893140432236
11,7.68,3.4,10.06,4.41,12.19,19.41,12.15,6.43,0.81,0.008071,0.9299999999999999,0.91,63,5.87298841165476,5.883633129877648,5.879410747721264
12,7.59,3.33,9.07,3.96,12.17,18.08,11.37,6.15,0.81,0.020296,0.98,0.98,54,4.951576879736587,6.654656071276915,5.719971256680354
13,7.85,3.04,9.65,3.88,11.96,17.81,11.02,5.99,0.81,0.031173,0.98,0.78,52,4.73280317658092,5.810736070336681,5.640790045686204
14,8.0,3.58,10.44,4.5,12.87,17.55,12.25,6.7,0.81,0.010088,0.92,0.71,72,5.210010342564932,6.678871483119452,6.674604257934884
15,8.06,3.28,10.47,4.31,12.87,18.95,12.42,6.41,0.8,0.022668,0.92,0.84,64,5.4428522608044,6.690054159658886,5.970191376804159
16,7.61,3.43,9.21,4.07,12.0,18.19,11.13,6.2,0.82,0.011805,0.88,0.82,56,5.180493589486136,6.142434499379688,6.149248317055252
17,7.79,3.3,9.89,4.07,12.71,18.51,10.85,6.17,0.82,0.006929,0.96,0.88,57,5.541504742905279,5.616400374836962,6.609306055535749
18,8.03,3.59,10.52,4.52,13.03,18.1,12.84,6.73,0.79,0.012495,0.9,0.7,73,6.78691468783057,6.463976738882261,5.408947902445972
19,8.12,3.3,10.52,4.42,13.06,19.4,11.76,6.48,0.77,0.025887,0.99,0.83,66,6.639258840549569,5.862671824226665,5.385904798296045
20,7.36,3.28,8.34,3.62,12.4,14.05,9.99,5.91,0.83,0.03895,0.81,0.92,47,4.038703306754573,6.469387951077455,6.1034093737342685
21,8.2,3.59,11.32,4.78,13.01,18.41,12.41,6.98,0.83,0.029889,0.81,0.67,82,5.1854507542069275,6.688229256158222,6.697368411467256
22,7.53,3.06,8.85,3.62,12.07,16.84,11.92,5.88,0.83,0.069469,1.0,0.78,47,6.556484808322592,5.093853392273525,4.533849040777611
23,7.88,3.36,10.06,4.24,13.22,19.22,13.09,6.6,0.82,0.040704,0.91,0.83,66,5.202706178484795,6.5460376912310485,7.002241265273507
24,8.03,3.56,10.41,4.52,13.23,17.09,12.4,6.74,0.78,0.009855,0.99,0.87,73,6.916978113170329,5.976287934636673,6.356007693014232
25,8.15,3.55,11.2,4.7,13.25,18.83,12.66,6.93,0.82,0.027713,0.9,0.67,80,5.184666171141864,6.693921009824773,6.693124374992699
26,8.2,3.54,10.94,4.76,13.26,17.22,12.74,6.9,0.75,0.021297,0.86,0.8,79,7.301479439668029,5.520214603880106,6.533881107938424
27,8.05,3.49,10.68,4.57,13.26,20.92,13.04,6.76,0.77,0.008992,1.0,1.0,74,6.7468209942228405,5.962119197667759,6.173344175949036
28,7.27,3.14,8.27,3.55,11.94,12.71,10.49,5.77,0.84,0.021691,0.88,0.77,44,5.6317115023712345,4.891269369872482,6.017663326481901
29,7.55,2.82,8.64,3.45,12.3,17.12,11.96,5.79,0.84,0.096989,1.0,0.82,44,4.0419033740950665,5.219624968920581,6.3631097444572395
30,7.56,3.42,9.16,4.0,12.97,16.08,10.32,6.17,0.84,0.002678,0.94,0.79,55,6.207625219801909,5.983027769129959,5.979390182311645
31,7.35,3.07,8.33,3.49,12.1,16.14,10.5,5.7,0.84,0.035838,0.95,0.76,43,4.486849372002548,5.254966508941775,6.377421683175675
32,7.38,2.98,8.22,3.47,12.04,17.56,11.73,5.9,0.84,0.056554,0.9,0.67,45,4.308931025270513,6.370963317857524,5.647160434223446
33,7.89,3.16,10.18,4.11,11.91,17.1,11.91,6.15,0.84,0.014074,0.95,0.78,57,5.919214574038072,5.667696222995912,5.027759374253108
34,7.76,2.98,9.61,3.88,12.02,17.14,12.02,5.97,0.84,0.02823,0.9,0.78,51,4.603707301178323,5.4922422668055395,6.272077277333404
